Walking bob,Peering,Gap dip
0.3341184685078814,0.13862542398195604,1.1871162451906243
0.5093771655923394,0.08984977507725733,0.6343930909925518
0.3765268182928539,0.20487630092214407,0.76687966464229
0.37720065673087755,0.17947993161599896,0.8141186359021465
0.39120950901039253,0.09768780236298816,0.917092287615991
0.18175105735994868,0.1566111752287576,0.6036401958682021
0.33240497532367164,0.1714764370889752,1.4120918958537994
0.2420231148246444,0.1339285118730174,1.1797043086856
0.3327242976888367,0.1214133967815642,0.9998932227684779
0.5627214831312568,0.10565746079874286,0.9363045764697588
0.47038406896111434,0.0890684436960178,0.8977359200110435
0.08885723732472284,0.11633151287123991,0.9769428518966132
0.3435960802004658,0.18291568189937904,0.7890627512348976
0.5555326753023938,0.12604108438633727,0.8239899238906333
0.8946762327859422,0.23486335169438988,1.0784133041733597
0.2524818911571916,0.18313103646031365,1.1062124565160076
0.3817237396327905,0.2633185882796359,1.3646824008582756
0.4786614353400254,0.12890365203403317,1.0762315618688645
0.45380795868966106,0.16845744922212236,0.8869843933546158
0.4548823322506686,0.11921803043253171,0.6599743991105471
0.3790122193371893,0.2371475060728647,1.1052809654023104
0.28718595768647315,0.07075073305858619,0.9753317913965138
